codigo_postal,balanced_kmeans,latitud,longitud,zone,subzone
55064,green,19.6187114715576,-98.9874420166016,Cuautitlan,1.0
55065,green,19.6200942993164,-99.0007553100586,Cuautitlan,1.0
55066,green,19.6303977966309,-98.9978790283203,Cuautitlan,1.0
55067,green,19.6357917785645,-98.98193359375,Cuautitlan,1.0
55068,green,19.63454246521,-99.0117797851563,Cuautitlan,1.0
55069,green,19.644947052002,-99.0072021484375,Cuautitlan,1.0
55070,green,19.5992012023926,-99.0060424804688,Cuautitlan,1.0
55074,green,19.6105327606201,-98.9984970092773,Cuautitlan,1.0
55075,green,19.5940284729004,-99.0248641967773,Cuautitlan,1.0
55076,green,19.5886726379395,-99.0194091796875,Cuautitlan,1.0
55080,green,19.5752716064453,-99.0496978759766,Cuautitlan,1.0
55084,green,19.5762233734131,-99.0512084960938,Cuautitlan,1.0
55085,green,19.5831832885742,-99.0490875244141,Cuautitlan,1.0
55087,green,19.5813541412354,-99.0561904907227,Cuautitlan,1.0
55090,green,19.5876331329346,-99.0386810302734,Cuautitlan,1.0
55094,green,19.5919208526611,-99.0420989990234,Cuautitlan,1.0
55095,green,19.5814456939697,-99.0258026123047,Cuautitlan,1.0
55100,green,19.5580310821533,-99.0359573364258,Cuautitlan,1.0
55104,green,19.5519638061523,-99.0215148925781,Cuautitlan,1.0
55105,green,19.5653076171875,-99.0336990356445,Cuautitlan,1.0
55107,green,19.5592479705811,-99.0276412963867,Cuautitlan,1.0
55114,green,19.5615901947022,-99.0283889770508,Cuautitlan,1.0
55115,green,19.5640029907227,-99.0194702148438,Cuautitlan,1.0
55117,green,19.5628147125244,-99.01416015625,Cuautitlan,1.0
55118,green,19.5679111480713,-99.0216598510742,Cuautitlan,1.0
55119,green,19.5759544372559,-99.0227737426758,Cuautitlan,1.0
55120,green,19.5368003845215,-99.0320053100586,Cuautitlan,1.0
55125,green,19.5526008605957,-99.0171585083008,Cuautitlan,1.0
55126,green,19.5308742523193,-99.015739440918,Cuautitlan,1.0
55127,green,19.5394973754883,-99.0380249023438,Cuautitlan,1.0
55128,green,19.5558471679688,-99.0149230957031,Cuautitlan,1.0
55129,green,19.5459461212158,-99.0173645019531,Cuautitlan,1.0
55130,green,19.5374240875244,-99.0392150878906,Cuautitlan,1.0
55135,green,19.5270614624023,-99.0331802368164,Cuautitlan,1.0
55137,green,19.5363426208496,-99.0413436889648,Cuautitlan,1.0
55138,green,19.5340633392334,-99.0333099365234,Cuautitlan,1.0
55139,green,19.5341949462891,-99.0385437011719,Cuautitlan,1.0
55140,green,19.5267066955566,-99.0241241455078,Cuautitlan,1.0
55146,green,19.5187301635742,-99.0246658325195,Cuautitlan,1.0
55147,green,19.5228900909424,-99.0272674560547,Cuautitlan,1.0
55148,green,19.524097442627,-99.0302200317383,Cuautitlan,1.0
55149,green,19.5270977020264,-99.0291137695313,Cuautitlan,1.0
55158,green,19.5248737335205,-99.0171279907227,Cuautitlan,1.0
55170,green,19.5219612121582,-99.0222015380859,Cuautitlan,1.0
55176,green,19.5265979766846,-99.0201416015625,Cuautitlan,1.0
55180,green,19.5191879272461,-99.016731262207,Cuautitlan,1.0
55187,green,19.5181732177734,-99.0197219848633,Cuautitlan,1.0
55188,green,19.5215606689453,-99.0185165405273,Cuautitlan,1.0
55189,green,19.5207500457764,-99.0160446166992,Cuautitlan,1.0
55190,green,19.5140018463135,-99.0175247192383,Cuautitlan,1.0
55200,green,19.5223178863525,-99.0453491210938,Cuautitlan,1.0
55210,green,19.5217456817627,-99.0550079345703,Cuautitlan,1.0
55218,green,19.5184001922607,-99.0547485351563,Cuautitlan,1.0
55220,green,19.5192031860352,-99.0570068359375,Cuautitlan,1.0
55230,green,19.4913024902344,-99.0159072875977,Cuautitlan,1.0
55234,green,19.4883594512939,-99.0236511230469,Cuautitlan,1.0
55235,green,19.4905185699463,-99.0242385864258,Cuautitlan,1.0
55236,green,19.4924621582031,-99.0218048095703,Cuautitlan,1.0
55237,green,19.4967021942139,-99.0241775512695,Cuautitlan,1.0
55238,green,19.4990730285645,-99.0253143310547,Cuautitlan,1.0
55240,green,19.5137939453125,-99.0333557128906,Cuautitlan,1.0
55242,green,19.5064105987549,-99.0322189331055,Cuautitlan,1.0
55243,green,19.5043926239014,-99.0333633422852,Cuautitlan,1.0
55244,green,19.5054664611816,-99.0323486328125,Cuautitlan,1.0
55245,green,19.50634765625,-99.0288162231445,Cuautitlan,1.0
55246,green,19.5095233917236,-99.0322647094727,Cuautitlan,1.0
55247,green,19.5075798034668,-99.0283432006836,Cuautitlan,1.0
55248,green,19.5166034698486,-99.0317077636719,Cuautitlan,1.0
55249,green,19.5127868652344,-99.0257568359375,Cuautitlan,1.0
55260,green,19.5062236785889,-99.0204162597656,Cuautitlan,1.0
55264,green,19.499755859375,-99.0157470703125,Cuautitlan,1.0
55266,green,19.5039482116699,-99.0255966186523,Cuautitlan,1.0
55267,green,19.5065536499023,-99.0251693725586,Cuautitlan,1.0
55268,green,19.5133438110352,-99.0214767456055,Cuautitlan,1.0
55269,green,19.5118923187256,-99.0184860229492,Cuautitlan,1.0
55270,green,19.510124206543,-99.0546188354492,Cuautitlan,1.0
55280,green,19.4919757843018,-99.0392761230469,Cuautitlan,1.0
55284,green,19.489294052124,-99.0392379760742,Cuautitlan,1.0
55287,green,19.5007495880127,-99.0312423706055,Cuautitlan,1.0
55288,green,19.5019931793213,-99.0342102050781,Cuautitlan,1.0
55289,green,19.5033378601074,-99.036003112793,Cuautitlan,1.0
55290,green,19.494987487793,-99.0291061401367,Cuautitlan,1.0
55294,green,19.493501663208,-99.0378570556641,Cuautitlan,1.0
55295,green,19.4885272979736,-99.0364685058594,Cuautitlan,1.0
55296,green,19.4880828857422,-99.0311508178711,Cuautitlan,1.0
55297,green,19.490348815918,-99.0309906005859,Cuautitlan,1.0
55298,green,19.4933471679688,-99.0296630859375,Cuautitlan,1.0
55299,green,19.4996681213379,-99.0280685424805,Cuautitlan,1.0
55300,green,19.5413913726807,-99.0868377685547,Cuautitlan,1.0
55308,green,19.5449142456055,-99.08154296875,Cuautitlan,1.0
55310,green,19.5313949584961,-99.074951171875,Cuautitlan,1.0
55316,green,19.5466918945313,-99.0761642456055,Cuautitlan,1.0
55317,green,19.5375804901123,-99.085205078125,Cuautitlan,1.0
55320,green,19.5254821777344,-99.0645065307617,Cuautitlan,1.0
55330,green,19.5237083435059,-99.0626602172852,Cuautitlan,1.0
55338,green,19.5274028778076,-99.0532531738281,Cuautitlan,1.0
55339,green,19.5209465026855,-99.0624618530273,Cuautitlan,1.0
55340,green,19.5189037322998,-99.0702209472656,Cuautitlan,1.0
55347,green,19.5121154785156,-99.0752105712891,Cuautitlan,1.0
55348,green,19.515645980835,-99.0812301635742,Cuautitlan,1.0
55349,green,19.521520614624,-99.0863647460938,Cuautitlan,1.0
55360,green,19.513542175293,-99.0741653442383,Cuautitlan,1.0
55369,green,19.5074024200439,-99.0769119262695,Cuautitlan,1.0
55390,green,19.5088272094727,-99.0827713012695,Cuautitlan,1.0
55400,green,19.5686283111572,-99.0343246459961,Cuautitlan,1.0
55404,green,19.5702590942383,-99.0354919433594,Cuautitlan,1.0
55405,green,19.5583667755127,-99.0433654785156,Cuautitlan,1.0
55407,green,19.5725040435791,-99.0467300415039,Cuautitlan,1.0
55410,green,19.5779666900635,-99.0599899291992,Cuautitlan,1.0
55414,green,19.5698184967041,-99.0643920898438,Cuautitlan,1.0
55415,green,19.576343536377,-99.0639572143555,Cuautitlan,1.0
55416,green,19.5607891082764,-99.0572738647461,Cuautitlan,1.0
55417,green,19.5724258422852,-99.0529861450195,Cuautitlan,1.0
55418,green,19.5730209350586,-99.0590515136719,Cuautitlan,1.0
55419,green,19.5661354064941,-99.0549697875977,Cuautitlan,1.0
55420,green,19.5548896789551,-99.0467758178711,Cuautitlan,1.0
55425,green,19.5467987060547,-99.0603790283203,Cuautitlan,1.0
55429,green,19.5506744384766,-99.0613861083984,Cuautitlan,1.0
55430,green,19.5545215606689,-99.037467956543,Cuautitlan,1.0
55450,green,19.5454368591309,-99.0473251342773,Cuautitlan,1.0
55458,green,19.5529346466064,-99.0372848510742,Cuautitlan,1.0
55459,green,19.5529270172119,-99.0352554321289,Cuautitlan,1.0
55490,green,19.5307426452637,-99.0493698120117,Cuautitlan,1.0
55498,green,19.5382404327393,-99.0454406738281,Cuautitlan,1.0
55500,green,19.5600032806397,-99.0508728027344,Cuautitlan,1.0
55506,green,19.5552043914795,-99.0675811767578,Cuautitlan,1.0
55507,green,19.5599575042725,-99.0661926269531,Cuautitlan,1.0
55508,green,19.5600776672363,-99.0708770751953,Cuautitlan,1.0
55509,green,19.5654964447022,-99.0693740844727,Cuautitlan,1.0
55510,green,19.5496997833252,-99.0800247192383,Cuautitlan,1.0
55515,green,19.5610160827637,-99.0856018066406,Cuautitlan,1.0
55516,green,19.5553169250488,-99.0810546875,Cuautitlan,1.0
55517,green,19.5553684234619,-99.0833511352539,Cuautitlan,1.0
55518,green,19.5601787567139,-99.0927047729492,Cuautitlan,1.0
55519,green,19.5691051483154,-99.0927124023438,Cuautitlan,1.0
55520,green,19.5529022216797,-99.0743408203125,Cuautitlan,1.0
55530,green,19.5458202362061,-99.0669403076172,Cuautitlan,1.0
55540,green,19.5391883850098,-99.06787109375,Cuautitlan,1.0
55547,green,19.5323505401611,-99.061164855957,Cuautitlan,1.0
55548,green,19.5448951721191,-99.0592651367188,Cuautitlan,1.0
55549,green,19.5437812805176,-99.0619888305664,Cuautitlan,1.0
55600,red,19.7980079650879,-99.1003494262695,Cuautitlan,1.0
55603,red,19.8036403656006,-99.0890502929688,Cuautitlan,1.0
55604,red,19.7999172210693,-99.0742645263672,Cuautitlan,1.0
55605,red,19.7797966003418,-99.0919418334961,Cuautitlan,1.0
55606,red,19.7803039550781,-99.101188659668,Cuautitlan,1.0
55607,red,19.7959232330322,-99.0571899414063,Cuautitlan,1.0
55609,red,19.7808666229248,-99.1119537353516,Cuautitlan,1.0
55610,red,19.8607177734375,-99.0817184448242,Cuautitlan,2.0
55613,red,19.8592338562012,-99.1142196655273,Cuautitlan,2.0
55614,red,19.8314456939697,-99.0823440551758,Cuautitlan,1.0
55615,red,19.8089580535889,-99.1048965454102,Cuautitlan,2.0
55616,red,19.8193626403809,-99.0973663330078,Cuautitlan,1.0
55619,red,19.8427124023438,-99.1069793701172,Cuautitlan,2.0
55620,red,19.8089275360107,-99.1625671386719,Cuautitlan,2.0
55628,red,19.8068428039551,-99.140510559082,Cuautitlan,2.0
55629,red,19.8250560760498,-99.1346664428711,Cuautitlan,2.0
55630,red,19.8157577514648,-99.00537109375,Cuautitlan,1.0
55634,red,19.773853302002,-99.0212860107422,Cuautitlan,1.0
55635,red,19.8112049102783,-99.0403060913086,Cuautitlan,1.0
55636,red,19.7703323364258,-99.0524673461914,Cuautitlan,1.0
55637,red,19.8192005157471,-99.0507202148438,Cuautitlan,1.0
55640,red,19.7568607330322,-98.9856567382813,Cuautitlan,1.0
55643,red,19.8145446777344,-99.081298828125,Cuautitlan,1.0
55644,red,19.8141803741455,-99.0208969116211,Cuautitlan,1.0
55646,red,19.7776222229004,-99.1015014648438,Cuautitlan,1.0
55700,blue,19.6339473724365,-99.1122131347656,Cuautitlan,3.0
55705,blue,19.6230716705322,-99.10498046875,Cuautitlan,3.0
55707,blue,19.6260719299316,-99.1152038574219,Cuautitlan,3.0
55708,blue,19.627082824707,-99.1057357788086,Cuautitlan,3.0
55709,blue,19.6269989013672,-99.1015548706055,Cuautitlan,3.0
55710,green,19.647289276123,-99.0924835205078,Cuautitlan,2.0
55712,green,19.6599292755127,-99.0996856689453,Cuautitlan,2.0
55713,green,19.6309833526611,-99.0773773193359,Cuautitlan,2.0
55714,green,19.6376457214355,-99.0854644775391,Cuautitlan,2.0
55715,green,19.6332263946533,-99.0888366699219,Cuautitlan,2.0
55716,green,19.6355648040772,-99.09375,Cuautitlan,2.0
55717,blue,19.6485958099365,-99.1208343505859,Cuautitlan,3.0
55718,green,19.6400661468506,-99.0755996704102,Cuautitlan,2.0
55719,green,19.6459903717041,-99.0873107910156,Cuautitlan,2.0
55720,green,19.6127681732178,-99.0882949829102,Cuautitlan,2.0
55726,green,19.6275024414063,-99.0894317626953,Cuautitlan,2.0
55728,green,19.624547958374,-99.0870742797852,Cuautitlan,2.0
55729,green,19.6252059936523,-99.0811004638672,Cuautitlan,2.0
55730,green,19.6303234100342,-99.0931015014648,Cuautitlan,2.0
55736,blue,19.621431350708,-99.1204147338867,Cuautitlan,3.0
55737,blue,19.6192150115967,-99.1003646850586,Cuautitlan,3.0
55738,green,19.6255664825439,-99.0977172851563,Cuautitlan,2.0
55739,green,19.6253833770752,-99.0943222045898,Cuautitlan,2.0
55740,red,19.7132740020752,-98.9674606323242,Cuautitlan,1.0
55743,red,19.7195320129395,-98.9640808105469,Cuautitlan,1.0
55744,red,19.7565460205078,-98.9609603881836,Cuautitlan,1.0
55745,red,19.7514381408691,-98.9501113891602,Cuautitlan,1.0
55746,green,19.7011413574219,-98.9417266845703,Cuautitlan,3.0
55747,green,19.6733493804932,-98.9613418579102,Cuautitlan,3.0
55748,green,19.6871528625488,-98.9657287597656,Cuautitlan,3.0
55749,green,19.6928043365479,-98.9812545776367,Cuautitlan,3.0
55750,red,19.7670421600342,-98.9629211425781,Cuautitlan,1.0
55752,red,19.7728881835938,-99.0190887451172,Cuautitlan,1.0
55754,red,19.7668495178223,-98.9527053833008,Cuautitlan,1.0
55755,red,19.7729949951172,-98.9819259643555,Cuautitlan,1.0
55757,red,19.7859497070313,-99.0013732910156,Cuautitlan,1.0
55758,red,19.7952842712402,-98.9776992797852,Cuautitlan,1.0
55760,green,19.6828689575195,-99.0005950927734,Cuautitlan,3.0
55763,green,19.6282176971436,-99.0218200683594,Cuautitlan,1.0
