ID_Credito,ID_Credito_original,ID_Tienda
f5f6b2,fdc7b013-151c-4f08-8a5e-ab3693f5f6b2,
9b0570,ff028950-ed1d-416e-8a98-c3f0699b0570,
f6ca77,ff2dbb5e-3730-4b3e-b6b0-d5981cf6ca77,
d674db,19b37eac-b28c-42df-a147-a84e1fd674db,
caca0c,20741e6a-0787-4655-bfc7-07ce3bcaca0c,
d73318,221db475-e939-4ecb-aa22-af8bc2d73318,
adc9f3,3b3d1020-7918-46f4-b8f8-cf7868adc9f3,
d1065d,3e949a61-87db-4ae5-b7b0-84e60ed1065d,
9b203f,4cd4a035-08f8-49f9-820b-4055f79b203f,
3b4998,519a2b61-ed59-4aaa-9487-23b1403b4998,
711e94,5b6ab671-24dd-48af-8641-a70ed5711e94,
22f09f,6ee10736-6553-48b9-a20a-e95a2b22f09f,
094bfd,87b9c416-20ad-422f-b53d-5249f1094bfd,
036203,8bfe8585-64e5-404d-9205-4cf014036203,
9d9e09,8d24fad1-1eb3-42b1-afaf-25d8529d9e09,
ebf065,ab829328-b015-41a9-b377-c99bc4ebf065,
b02eb9,bb160902-72c2-483e-b4d8-1f2a07b02eb9,
5461b6,bd61459a-c119-4d8b-ac9f-0b509e5461b6,
aea133,e5f9a75d-b72d-4f37-b5dd-c02628aea133,
f3d4a5,e75eca5a-bcc2-474c-9b05-7db504f3d4a5,
491081,e796bd1b-d1f5-4aca-bb69-ffcb58491081,
d3e61e,ff721ef0-178e-427b-aa68-433634d3e61e,
61d00e,08379a8e-02fa-4aab-b410-6fcc1f61d00e,
7d6d9b,1f2c93f2-b016-43c1-8146-fd2c737d6d9b,
7a6cfb,304f8408-c041-47a3-baf6-d97d8a7a6cfb,
d40388,450e9edb-1a3f-446c-8a7d-c2db01d40388,
ba1c88,48d5c152-c5d5-49d0-84f6-692104ba1c88,
f39ffe,610b6109-46be-4e7c-a94c-a6436cf39ffe,
b46a17,6acd8723-6523-443f-a475-0800dbb46a17,
322fb3,73a5325d-a481-48a9-aaf0-b202af322fb3,
7c0365,86cdc666-89d3-44d6-b77d-fd948d7c0365,
b52906,86ea986a-c0de-4cde-a394-89f039b52906,
f50d8f,8f938129-9eb3-4ba1-89e1-9eded2f50d8f,
ed0b26,9db05126-0e4c-40a8-acb9-4ad82ced0b26,
034456,ac43a7eb-e203-4b3a-90e9-899be2034456,
6a3723,ba77acaf-9da6-445a-ac37-f012136a3723,
a0f51b,bb9a54cd-5212-4db6-835e-ca6517a0f51b,
