zone,zip_code,latitude,longitude,balanced_kmeans,subzone,Cuentas
Texcoco,56030,19.5513881,-98.8812175,red,1.0,7
Texcoco,56033,19.5681339,-98.8906156,red,1.0,2
Texcoco,56035,19.6019581,-98.9001811,red,3.0,1
Texcoco,56040,19.5870981,-98.8834066,red,3.0,7
Texcoco,56050,19.5592308,-98.864265,red,3.0,1
Texcoco,56100,19.513826225,-98.88164535,red,1.0,11
Texcoco,56105,19.4411233,-98.8978446,blue,2.0,1
Texcoco,56110,19.5062151,-98.8795969,red,2.0,1
Texcoco,56120,19.5193179,-98.8737709,red,1.0,10
Texcoco,56130,19.5112837,-98.8732179,red,1.0,5
Texcoco,56140,19.5105181,-98.8804363,red,1.0,1
Texcoco,56150,19.4957218,-98.8871399,red,2.0,5
Texcoco,56160,19.50894245,-98.87579218363442,red,1.0,2
Texcoco,56170,19.4863833,-98.8844554,red,2.0,2
Texcoco,56200,19.5284397,-98.9117143,red,2.0,2
Texcoco,56203,19.5355736,-98.9054298,red,2.0,7
Texcoco,56205,19.5082877,-98.8969269,red,2.0,5
Texcoco,56208,19.5193133,-98.9095855,red,2.0,7
Texcoco,56210,19.537276,-98.8673463,red,1.0,2
Texcoco,56216,19.533666,-98.858759,red,3.0,1
Texcoco,56217,19.5247018,-98.8713017,red,1.0,6
Texcoco,56220,19.4785522,-98.8726801,red,2.0,3
Texcoco,56225,19.46389565,-98.88111415,blue,1.0,6
Texcoco,56226,19.480136,-98.8822715,red,2.0,1
Texcoco,56230,19.49410405,-98.8899399,red,2.0,4
Texcoco,56240,19.5254991,-98.8181888,red,3.0,2
Texcoco,56244,19.5169997,-98.7834472,red,3.0,2
Texcoco,56245,19.4735386,-98.7948655,red,3.0,9
Texcoco,56246,19.4907999,-98.8238107,red,3.0,4
Texcoco,56247,19.501941,-98.814682,red,3.0,4
Texcoco,56250,19.4498134,-98.8731063,blue,1.0,16
Texcoco,56255,19.4298988,-98.89533802425576,blue,2.0,5
Texcoco,56257,19.4582981,-98.8808644,blue,1.0,2
Texcoco,56260,19.47698,-98.896654,blue,1.0,5
Texcoco,56263,19.49481435,-98.9038522,red,2.0,1
Texcoco,56264,19.4589533,-98.9278715,green,1.0,8
Texcoco,56265,19.4410474,-98.9081587,blue,2.0,2
Texcoco,56266,19.4297961,-98.9111456,blue,2.0,4
Texcoco,56267,19.5166993,-98.8953088,red,2.0,1
Texcoco,56270,19.54848766,-98.89098724,red,1.0,6
Texcoco,56300,19.5525368,-98.9168751181818,red,2.0,6
Texcoco,56314,19.5862505,-98.9460275,red,2.0,2
Texcoco,56315,19.5744799,-98.9369626,red,2.0,1
Texcoco,56330,19.415512,-98.9512531,green,2.0,3
Texcoco,56334,19.4311522,-98.9470599,green,2.0,32
Texcoco,56335,19.435468266666664,-98.93132275833334,green,1.0,31
Texcoco,56337,19.404581,-98.9586426,gold,1.0,12
Texcoco,56338,19.3904831,-98.9267202,green,2.0,2
