Cosecha,KPI,Mes,Value
2022-12,Par8,M004,0.03926052959213993
2023-01,Par8,M004,0.2698039133920901
2023-02,Par8,M004,0.1855396019481164
2023-03,Par8,M004,0.1636566834115798
2023-04,Par8,M004,0.3086716762015173
2021-08,Par8,M005,0.3060726717100983
2021-09,Par8,M005,0.3778335062913354
2021-10,Par8,M005,0.09874141660449917
2021-11,Par8,M005,0.17845325582194474
2021-12,Par8,M005,0.02744610122898106
2022-01,Par8,M005,0.1075344785919516
2022-02,Par8,M005,0.135461905178564
2022-03,Par8,M005,0.214984475314867
2022-04,Par8,M005,0.2142888001572826
2022-05,Par8,M005,0.30556577358148523
2022-06,Par8,M005,0.2841842817561078
2022-07,Par8,M005,0.29248849587133946
2022-08,Par8,M005,0.2623714038972482
2022-09,Par8,M005,0.2255370358498855
2022-10,Par8,M005,0.319208171433231
2022-11,Par8,M005,0.2364017532305622
2022-12,Par8,M005,0.11288392815668738
2023-01,Par8,M005,0.23993528947161744
2023-02,Par8,M005,0.25009113540050476
2023-03,Par8,M005,0.20142267871401612
2021-08,Par8,M006,0.2527514608008726
2021-09,Par8,M006,0.22394361376511634
2021-10,Par8,M006,0.15223440345438888
2021-11,Par8,M006,0.20107588379853186
2021-12,Par8,M006,0.03664786097904516
2022-01,Par8,M006,0.13480839980068174
2022-02,Par8,M006,0.2379084903378585
2022-03,Par8,M006,0.22405612006339662
2022-04,Par8,M006,0.2740017620931154
2022-05,Par8,M006,0.35362244139859095
2022-06,Par8,M006,0.2972994299240904
2022-07,Par8,M006,0.35009589066159996
2022-08,Par8,M006,0.31968118944089147
2022-09,Par8,M006,0.3222107218604957
2022-10,Par8,M006,0.343607260873194
2022-11,Par8,M006,0.2660402360617961
2022-12,Par8,M006,0.09311008032191773
2023-01,Par8,M006,0.31635191058821627
2023-02,Par8,M006,0.3765539861778883
2021-08,Par8,M007,0.2021194773018663
2021-09,Par8,M007,0.27518456782531237
2021-10,Par8,M007,0.17249079690185246
2021-11,Par8,M007,0.1916066817164989
2021-12,Par8,M007,0.06605761386603962
2022-01,Par8,M007,0.17686788812391546
2022-02,Par8,M007,0.229596134491014
2022-03,Par8,M007,0.23524090979361695
2022-04,Par8,M007,0.31499951112959007
2022-05,Par8,M007,0.3934693921247243
2022-06,Par8,M007,0.29283660655140387
2022-07,Par8,M007,0.448044354145629
2022-08,Par8,M007,0.42719193104383973
2022-09,Par8,M007,0.38112244232223724
2022-10,Par8,M007,0.40378147309767404
2022-11,Par8,M007,0.3021676528062556
2022-12,Par8,M007,0.23308818353652283
2023-01,Par8,M007,0.4041243732204333
2021-08,Par8,M008,0.2304367548795067
2021-09,Par8,M008,0.2735195179803442
2021-10,Par8,M008,0.21585904037923184
2021-11,Par8,M008,0.24339037407663006
2021-12,Par8,M008,0.13184596549057426
2022-01,Par8,M008,0.2553875263790535
2022-02,Par8,M008,0.25203590172631213
2022-03,Par8,M008,0.2633004364566449
2022-04,Par8,M008,0.2852121179827043
2022-05,Par8,M008,0.416447219985511
2022-06,Par8,M008,0.291300767896068
2022-07,Par8,M008,0.4479824373158959
2022-08,Par8,M008,0.44824361628276804
2022-09,Par8,M008,0.3506853381574667
2022-10,Par8,M008,0.3616946208413835
2022-11,Par8,M008,0.33068704785389236
2022-12,Par8,M008,0.3825405471275306
2021-08,Par8,M009,0.3052790614948006
2021-09,Par8,M009,0.36218840236955646
2021-10,Par8,M009,0.24723218840804992
2021-11,Par8,M009,0.29583868962028037
2021-12,Par8,M009,0.15835121359075488
2022-01,Par8,M009,0.24959222491268887
2022-02,Par8,M009,0.28496088348301085
2022-03,Par8,M009,0.29488671960793733
2022-04,Par8,M009,0.2978120848670362
2022-05,Par8,M009,0.4532542522221267
2022-06,Par8,M009,0.37267898081567347
2022-07,Par8,M009,0.5076542712456953
2022-08,Par8,M009,0.49902583146212437
2022-09,Par8,M009,0.3101569136482995
2022-10,Par8,M009,0.4182329300567283
2022-11,Par8,M009,0.3471337909507911
2021-08,Par8,M010,0.2220698860709352
2021-09,Par8,M010,0.375854609797831
2021-10,Par8,M010,0.2745223687671411
2021-11,Par8,M010,0.27742331075487753
2021-12,Par8,M010,0.1837439071051452
2022-01,Par8,M010,0.3702411003982742
2022-02,Par8,M010,0.29820014666021943
2022-03,Par8,M010,0.29954205800934325
2022-04,Par8,M010,0.3239036060839791
2022-05,Par8,M010,0.5019983494909502
2022-06,Par8,M010,0.38788240101303956
2022-07,Par8,M010,0.5677740377425619
2022-08,Par8,M010,0.4896077291578789
2022-09,Par8,M010,0.4007577387704095
2022-10,Par8,M010,0.44934318413852775
2021-08,Par8,M011,0.2768617166110871
2021-09,Par8,M011,0.387757861361279
2021-10,Par8,M011,0.251620191768606
2021-11,Par8,M011,0.32933627820783484
2021-12,Par8,M011,0.14872406087467255
2022-01,Par8,M011,0.3707220874845149
2022-02,Par8,M011,0.3157287469778936
2022-03,Par8,M011,0.34230037040512334
2022-04,Par8,M011,0.3622305713789264
2022-05,Par8,M011,0.5734593240954058
2022-06,Par8,M011,0.4369280063239723
2022-07,Par8,M011,0.5868750824148387
2022-08,Par8,M011,0.5175125933966823
2022-09,Par8,M011,0.4164789446024929
2021-08,Par8,M012,0.2807824308292925
2021-09,Par8,M012,0.4302934427758532
2021-10,Par8,M012,0.2737846725442377
2021-11,Par8,M012,0.32707035030482806
2021-12,Par8,M012,0.16454316359723584
2022-01,Par8,M012,0.37035535503990463
2022-02,Par8,M012,0.41964780873166807
2022-03,Par8,M012,0.34690623277387533
2022-04,Par8,M012,0.4012454280020534
2022-05,Par8,M012,0.5720930723837718
2022-06,Par8,M012,0.4516351154132945
2022-07,Par8,M012,0.6173064998452978
2022-08,Par8,M012,0.5350040563059673
2021-08,Par8,M013,0.31121666392535985
2021-09,Par8,M013,0.38794365563296246
2021-10,Par8,M013,0.36313211293582703
2021-11,Par8,M013,0.33690672269182736
2021-12,Par8,M013,0.16843176352749112
2022-01,Par8,M013,0.3595603227287815
2022-02,Par8,M013,0.4150846708976387
2022-03,Par8,M013,0.47517428185015204
2022-04,Par8,M013,0.45028712799905635
